cluster,mean,categ_0,categ_1,categ_2,categ_3,categ_4
6,244.8613347,57.6601515,6.00052146,5.406898131,12.94235119,17.99007772
4,266.4288861,6.421086592,51.04639312,10.87343563,18.1309685,13.58062198
1,245.7335027,5.277063411,13.140748,52.06551738,18.18071293,11.35203476
0,275.4471737,5.686935229,7.499719295,10.18922449,64.87444182,11.74967917
3,265.8786449,12.72461947,7.53300435,5.792884599,16.39524222,57.55754998
8,331.3877642,14.08429245,17.15185603,14.44962758,28.07310684,26.24516825
5,1207.401108,11.89795703,16.85895123,13.691672,31.51019013,26.04157753
2,3700.139306,22.89073593,15.1711695,18.27846974,23.55700077,20.10262407
10,562.4878153,12.08124157,16.25702335,15.58802129,32.3033779,23.79068308
9,374.6015532,13.11758298,13.40297078,17.72103756,29.95172861,25.83253074
7,4989.406686,7.924226805,18.67371477,20.97047929,28.88801948,23.54355965
